id,country,segment,signup_date
826,Japan,smb,2022-11-12
827,Brazil,smb,2022-10-03
828,Spain,smb,2024-09-14
829,Sweden,mid-market,2023-01-07
830,Australia,mid-market,2023-09-19
831,Australia,enterprise,2022-06-09
832,Germany,smb,2023-12-27
833,Sweden,consumer,2023-03-04
834,USA,consumer,2022-06-05
835,Brazil,smb,2024-08-30
836,Brazil,smb,2021-10-03
837,Spain,smb,2022-01-15
838,Canada,mid-market,2024-09-09
839,Australia,consumer,2024-08-29
840,,mid-market,2021-07-02
841,Germany,consumer,2023-10-13
842,Germany,consumer,2021-06-16
843,Australia,smb,2022-11-30
844,Brazil,consumer,2023-07-18
845,Sweden,mid-market,2023-10-27
846,Japan,consumer,2022-04-09
847,Japan,consumer,2024-06-24
848,France,consumer,2023-04-21
849,France,consumer,2023-07-13
850,Spain,consumer,2024-04-20
851,,consumer,2023-07-03
852,Sweden,smb,2022-10-17
853,France,consumer,2022-03-12
854,Spain,consumer,2024-07-29
855,Germany,smb,2021-05-30
856,,consumer,2021-05-21
857,Germany,smb,2022-02-19
858,Germany,smb,2021-03-15
859,Brazil,enterprise,2023-03-14
860,Spain,mid-market,2021-08-13
861,Italy,consumer,2021-12-29
862,Italy,smb,2022-08-29
863,Sweden,smb,2024-03-14
864,Australia,mid-market,2022-09-05
865,Brazil,smb,2021-04-18
866,Netherlands,consumer,2020-12-16
867,Sweden,consumer,2023-02-13
868,Sweden,enterprise,2023-12-04
869,France,smb,2021-11-30
870,Canada,smb,2024-08-13
871,France,consumer,2024-04-24
872,Spain,smb,2022-08-29
873,Netherlands,smb,2020-12-08
874,Spain,smb,2023-08-07
875,Germany,smb,2023-02-20
876,Canada,smb,2023-08-17
877,USA,smb,2023-02-24
878,Germany,consumer,2024-11-22
879,Canada,consumer,2022-07-12
880,Sweden,smb,2022-07-10
881,France,consumer,2023-08-27
882,Japan,consumer,2023-11-10
883,Canada,mid-market,2021-11-09
884,France,smb,2024-03-01
885,Spain,mid-market,2024-09-24
886,Italy,consumer,2024-10-04
887,France,mid-market,2021-05-16
888,Germany,consumer,2023-06-16
889,Germany,mid-market,2024-07-06
890,Germany,smb,2021-05-20
891,Spain,consumer,2024-04-28
892,Italy,smb,2023-07-27
893,Germany,consumer,2024-11-02
894,UK,consumer,2022-03-10
895,Germany,consumer,2022-02-09
896,Japan,mid-market,2021-11-16
897,Germany,consumer,2023-11-12
898,Australia,enterprise,2023-08-08
899,Brazil,smb,2021-02-22
900,Japan,consumer,2021-08-13
901,Netherlands,consumer,2024-10-09
902,UK,smb,2022-02-19
903,Netherlands,smb,2021-08-26
904,UK,consumer,2022-09-02
905,France,consumer,2022-05-07
906,UK,smb,2024-12-01
907,UK,consumer,2024-10-19
908,France,mid-market,2024-10-12
909,USA,mid-market,2024-04-13
910,Canada,consumer,2020-12-07
911,Brazil,consumer,2022-05-15
912,Spain,mid-market,2021-10-10
913,Canada,mid-market,2023-09-25
914,Germany,mid-market,2021-02-23
915,Spain,consumer,2024-02-14
916,Australia,mid-market,2021-04-16
917,Netherlands,smb,2024-10-18
918,Spain,consumer,2024-11-02
919,UK,enterprise,2024-08-09
920,USA,smb,2021-09-25
921,France,smb,2023-11-20
922,France,consumer,2023-02-08
923,Japan,smb,2023-01-10
924,Netherlands,smb,2021-09-29
925,Italy,mid-market,2023-07-09
926,Japan,consumer,2024-11-23
927,France,consumer,2023-05-14
928,Germany,mid-market,2023-10-06
929,Spain,smb,2021-12-24
930,Canada,consumer,2021-11-24
931,Netherlands,enterprise,2024-07-20
932,Australia,mid-market,2021-09-24
933,Germany,smb,2024-08-21
934,Australia,mid-market,2022-06-06
935,USA,mid-market,2023-05-10
936,Germany,smb,2023-09-17
937,Brazil,mid-market,2022-12-23
938,USA,smb,2023-09-03
939,Australia,consumer,2021-09-23
940,Australia,smb,2021-01-11
941,Brazil,enterprise,2021-08-21
942,UK,consumer,2023-02-26
943,France,mid-market,2022-11-24
944,Netherlands,consumer,2023-02-14
945,Brazil,smb,2021-09-23
946,Japan,consumer,2022-09-13
947,Netherlands,mid-market,2023-01-14
948,France,mid-market,2023-04-11
949,France,smb,2023-05-31
950,Japan,enterprise,2022-09-12
951,France,mid-market,2022-02-24
952,Canada,consumer,2023-03-08
953,France,consumer,2021-09-04
954,Sweden,enterprise,2021-08-05
955,Canada,consumer,2023-03-13
956,Italy,consumer,2021-04-06
957,USA,consumer,2024-03-23
958,,consumer,2021-03-03
959,Germany,consumer,2023-09-27
960,Brazil,smb,2022-08-26
961,Canada,consumer,2023-10-13
962,Sweden,consumer,2023-02-22
963,USA,enterprise,2023-07-22
964,Japan,mid-market,2022-01-31
965,France,enterprise,2024-08-05
966,,consumer,2021-07-19
967,Netherlands,smb,2021-04-14
968,UK,consumer,2022-08-28
969,Italy,consumer,2022-09-20
970,France,consumer,2022-02-08
971,Canada,mid-market,2024-02-14
972,Germany,consumer,2021-11-26
973,UK,consumer,2024-01-16
974,Brazil,enterprise,2022-03-14
975,Sweden,consumer,2023-09-10
976,Brazil,smb,2021-12-02
977,Brazil,consumer,2021-09-27
978,,smb,2024-01-31
979,Australia,mid-market,2022-06-09
980,Spain,mid-market,2022-12-01
981,Japan,enterprise,2023-09-27
982,Japan,enterprise,2022-07-22
983,Canada,consumer,2020-12-04
984,Australia,smb,2024-11-29
985,Japan,mid-market,2021-01-26
986,Germany,consumer,2021-06-23
987,Japan,consumer,2022-10-16
988,Sweden,smb,2022-06-20
989,UK,consumer,2023-06-09
990,Sweden,smb,2024-05-27
991,UK,consumer,2022-08-15
992,Brazil,enterprise,2021-08-20
993,Japan,consumer,2023-12-29
994,Germany,consumer,2022-01-13
995,Spain,consumer,2021-11-29
996,Japan,smb,2021-11-14
997,Italy,consumer,2023-07-22
998,Canada,smb,2023-05-06
999,USA,consumer,2023-04-01
1000,Sweden,consumer,2021-06-26
1001,Japan,consumer,2021-04-19
1002,Canada,smb,2023-04-04
1003,France,enterprise,2021-01-07
1004,Canada,smb,2022-08-17
1005,Spain,enterprise,2023-05-16
1006,Spain,mid-market,2024-12-02
1007,Spain,mid-market,2022-06-18
1008,Netherlands,consumer,2022-04-30
1009,Netherlands,mid-market,2021-01-09
1010,,mid-market,2022-01-12
1011,USA,enterprise,2024-10-20
1012,,consumer,2022-08-22
1013,Germany,consumer,2021-12-07
1014,France,enterprise,2022-12-04
1015,Netherlands,enterprise,2023-03-12
1016,Spain,smb,2021-08-30
1017,Netherlands,mid-market,2022-06-18
1018,Australia,smb,2022-03-07
1019,France,smb,2023-01-20
1020,UK,consumer,2023-10-21
1021,Brazil,mid-market,2022-10-31
1022,Japan,consumer,2021-01-23
1023,Netherlands,enterprise,2022-07-01
1024,Spain,consumer,2022-01-28
1025,Netherlands,consumer,2024-06-03
1026,Canada,consumer,2020-12-11
1027,Italy,smb,2023-12-09
1028,Australia,mid-market,2021-01-05
1029,Japan,consumer,2023-02-16
1030,UK,consumer,2021-03-23
1031,Germany,mid-market,2021-05-02
1032,Japan,smb,2021-11-18
1033,Germany,smb,2021-03-26
1034,Spain,consumer,2022-06-21
1035,Germany,consumer,2021-07-04
1036,Netherlands,consumer,2024-03-24
1037,UK,consumer,2024-08-21
1038,Netherlands,mid-market,2022-09-26
1039,Canada,smb,2021-08-30
1040,Japan,enterprise,2021-11-03
1041,Canada,consumer,2022-10-18
1042,USA,smb,2022-10-29
1043,Italy,smb,2022-06-20
1044,Germany,mid-market,2021-06-05
1045,Canada,mid-market,2021-07-14
1046,Sweden,smb,2024-06-24
1047,UK,mid-market,2022-07-11
1048,Brazil,enterprise,2023-05-23
1049,Netherlands,consumer,2021-09-14
1050,Italy,smb,2022-11-20
1051,Italy,smb,2020-12-06
1052,USA,smb,2023-03-08
1053,Italy,consumer,2022-03-10
1054,Spain,mid-market,2024-06-26
1055,Japan,consumer,2021-03-03
1056,Australia,consumer,2024-04-21
1057,Japan,consumer,2023-05-26
1058,USA,smb,2021-07-20
1059,Australia,consumer,2021-01-10
1060,Spain,smb,2022-12-21
1061,Spain,smb,2022-12-21
1062,Canada,smb,2024-09-22
1063,Australia,mid-market,2020-12-25
1064,USA,enterprise,2024-11-08
1065,Spain,smb,2024-10-25
1066,Sweden,mid-market,2023-01-06
1067,Brazil,smb,2024-11-27
1068,UK,smb,2024-04-05
1069,Brazil,consumer,2022-05-25
1070,Australia,enterprise,2022-01-31
1071,Germany,consumer,2023-09-21
1072,Sweden,smb,2021-09-20
1073,Sweden,enterprise,2022-06-23
1074,Australia,mid-market,2024-01-02
1075,UK,enterprise,2022-01-20
1076,Germany,mid-market,2022-07-16
1077,Brazil,mid-market,2021-08-27
1078,Brazil,smb,2024-04-19
1079,Spain,smb,2023-12-29
1080,Japan,enterprise,2023-09-13
1081,Japan,mid-market,2023-07-20
1082,Germany,enterprise,2021-05-06
1083,Japan,smb,2021-12-22
1084,Germany,mid-market,2022-09-25
1085,Spain,smb,2022-09-30
1086,USA,mid-market,2021-05-10
1087,Spain,enterprise,2023-02-15
1088,Canada,consumer,2024-01-06
1089,Italy,enterprise,2024-05-15
1090,Sweden,mid-market,2023-08-05
1091,France,mid-market,2022-04-17
1092,Netherlands,consumer,2023-01-10
1093,Spain,consumer,2023-03-23
1094,Sweden,consumer,2022-12-28
1095,Canada,consumer,2020-12-30
1096,Brazil,enterprise,2020-11-27
1097,France,consumer,2024-04-09
1098,Italy,mid-market,2024-06-17
1099,France,consumer,2023-12-09
1100,Italy,smb,2021-06-29
1101,USA,smb,2023-01-27
1102,Netherlands,consumer,2021-06-12
1103,UK,mid-market,2022-04-27
1104,Germany,consumer,2022-09-11
1105,USA,smb,2023-10-16
1106,Australia,consumer,2023-07-16
1107,Australia,consumer,2024-04-29
1108,Japan,enterprise,2022-10-31
1109,USA,consumer,2023-10-17
1110,Spain,smb,2023-09-30
1111,Canada,consumer,2024-10-05
1112,Brazil,mid-market,2021-09-15
1113,France,smb,2021-02-21
1114,France,consumer,2022-12-01
1115,UK,smb,2022-10-07
1116,Canada,mid-market,2021-03-13
1117,Germany,mid-market,2022-11-12
1118,Australia,consumer,2022-06-01
1119,,enterprise,2023-03-14
1120,Canada,consumer,2022-11-07
1121,Japan,consumer,2022-10-27
1122,UK,enterprise,2022-01-22
1123,Japan,mid-market,2022-06-28
1124,Germany,consumer,2022-11-23
1125,UK,enterprise,2024-08-13
1126,Germany,smb,2021-04-13
1127,France,consumer,2021-05-07
1128,France,smb,2024-03-06
1129,Germany,smb,2023-09-28
1130,France,consumer,2021-01-02
1131,Spain,smb,2023-08-19
1132,USA,mid-market,2021-08-27
1133,USA,smb,2021-10-04
1134,Canada,consumer,2021-06-16
1135,France,consumer,2024-11-09
1136,USA,smb,2022-12-24
1137,USA,mid-market,2022-08-24
1138,France,enterprise,2021-07-21
1139,Brazil,mid-market,2024-01-08
1140,Japan,enterprise,2023-09-09
1141,Sweden,consumer,2024-03-13
1142,Brazil,mid-market,2021-11-08
1143,France,consumer,2020-11-25
1144,Japan,mid-market,2024-05-10
1145,USA,mid-market,2023-12-26
1146,Netherlands,smb,2023-09-08
1147,Spain,mid-market,2021-05-06
1148,Australia,consumer,2023-02-16
1149,UK,consumer,2023-10-15
1150,Netherlands,consumer,2023-08-17
1151,Italy,mid-market,2022-07-07
1152,Brazil,consumer,2023-05-14
1153,Canada,mid-market,2024-05-10
1154,Sweden,consumer,2021-08-15
1155,Spain,smb,2023-03-23
1156,,mid-market,2023-11-21
1157,Sweden,mid-market,2021-12-28
1158,Spain,enterprise,2021-12-03
1159,Germany,mid-market,2024-04-19
1160,Italy,consumer,2024-08-16
1161,USA,consumer,2024-09-27
1162,Germany,consumer,2021-11-03
1163,Italy,enterprise,2022-05-28
1164,Japan,smb,2021-09-25
1165,,mid-market,2022-05-27
1166,UK,smb,2023-04-22
1167,Italy,mid-market,2022-07-20
1168,France,mid-market,2022-01-05
1169,Japan,smb,2023-04-26
1170,Germany,mid-market,2021-03-28
1171,Japan,smb,2021-04-20
1172,Australia,consumer,2021-09-12
1173,Sweden,mid-market,2020-12-05
1174,UK,consumer,2023-05-09
1175,Canada,smb,2024-06-18
1176,Sweden,consumer,2022-12-22
1177,Netherlands,consumer,2021-12-02
1178,Australia,consumer,2021-10-14
1179,Australia,consumer,2023-05-11
1180,USA,consumer,2023-09-29
1181,Australia,consumer,2023-02-17
1182,Japan,mid-market,2021-09-08
1183,Germany,enterprise,2024-09-04
1184,UK,consumer,2023-08-08
1185,Japan,enterprise,2023-12-31
1186,Germany,mid-market,2021-09-05
1187,Italy,enterprise,2023-01-12
1188,Sweden,smb,2024-07-28
1189,Netherlands,mid-market,2023-11-14
1190,Australia,consumer,2024-09-28
1191,France,consumer,2023-01-03
1192,UK,consumer,2020-11-27
1193,Canada,mid-market,2022-08-22
1194,Brazil,smb,2021-06-03
1195,Germany,smb,2021-12-07
1196,UK,smb,2021-05-15
1197,Spain,consumer,2023-09-02
1198,Brazil,mid-market,2021-02-03
1199,UK,consumer,2023-12-18
1200,Netherlands,enterprise,2023-02-27
